Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,CheapestBrandCigaretteCurrency,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,PremiumBrandCigarettePrice,TreatmentInHealthFacilities,CigaretteSmokingPrevalence_Main
Sao Tome and Principe,4.1,4.5,5.4,No,18,STN,25,50,No,4.1
Saudi Arabia,18.6,12.7,2.0,Not applicable,6,SAR,27.5,27.5,Yes in most,18.6
Senegal,12.5,14.5,17.4,Yes,700,XOF,700,800,Yes in some,12.5
Serbia,36.2,40.6,40.6,Not applicable,210,RSD,250,330,Yes in some,36.2
Seychelles,31.0,35.3,35.3,Yes,117,SCR,117,140,No,31.0
Sierra Leone,29.1,31.0,31.0,Not applicable,"2,000",SLL,"5,000","10,000",No,29.1
Singapore,25.0,27.8,27.8,Not applicable,10.5,SGD,14.1,14.1,Yes in most,25.0
Slovakia,27.0,32.3,32.3,No,2.8,EUR,3.3,3.9,No,27.0
Slovenia,20.9,22.7,22.7,No,3.1,EUR,3.7,4.1,Yes in some,20.9
Solomon Islands,31.4,37.9,37.9,No,20,SBD,32,32,Yes in some,31.4
South Africa,28.2,34.3,31.4,No,15,ZAR,37.34,45,No,28.2
Spain,25.9,27.9,27.9,No,4,EUR,5,5,Yes in some,25.9
Sri Lanka,10.6,13.8,22.9,Not applicable,Data not available,LKR,"1,100",Data not available,No,10.6
Sweden,12.4,16.9,28.8,No,54,SEK,65,65,Yes in most,12.4
Switzerland,22.1,25.1,25.1,No,5.5,CHF,8.6,8.6,Yes in some,22.1
Thailand,19.0,20.3,3.1,Not applicable,55,THB,60,145,Yes in most,19.0
Timor-Leste,4.8,38.2,38.2,Yes,Data not available,USD,2,2,Yes in some,4.8
Togo,10.2,13.5,13.5,No,500,XOF,600,"1,200",No,10.2
Tonga,38.8,30.2,30.2,No,15,TOP,20,20,Yes in most,38.8
Tunisia,17.9,22.4,26.0,No,0.4,TND,2.85,6,Yes in most,17.9
Turkey,27.2,29.3,29.3,No,7.5,TRY,13.5,13.5,Yes in some,27.2
Tuvalu,30.6,37.4,48.7,No,3,AUD,6,6,No,30.6
Uganda,11.6,2.6,4.0,Not applicable,"2,500",UGX,"3,500","8,500",No,11.6
Ukraine,38.9,41.0,41.0,Yes,28.1,UAH,29.05,39,Yes in some,38.9
United Arab Emirates,11.3,14.7,18.2,Yes,8,AED,20,20,Yes in some,11.3
United Kingdom of Great Britain and Northern Ireland,16.8,19.2,19.2,No,7.63,GBP,9.4,11.5,Yes in most,16.8
United Republic of Tanzania,16.6,19.9,23.5,Not applicable,Data not available,TZS,"3,500",Data not available,No,16.6
United States of America,17.1,20.0,25.1,No,Not applicable,USD,6.86,Not applicable,Yes in some,17.1
Uruguay,19.5,21.8,21.8,Yes,130,UYU,140,140,Yes in most,19.5
Uzbekistan,10.1,12.3,12.3,No,"3,500",UZS,"6,000","8,500",Yes in some,10.1
Vanuatu,2.4,20.1,3.3,Not applicable,610,VUV,735,740,No,2.4
Yemen,20.7,26.9,32.5,Yes,200,YER,550,700,No,20.7
Zambia,11.5,24.1,25.0,No,4,ZMW,17.5,35,Yes in some,11.5
Zimbabwe,11.1,13.9,13.9,No,0.9,USD,1.75,2.5,No,11.1
